cd_choc_s2,cd_choc_s2_gse,cd_choc_s2_passif_prst,cd_choc_s2_passif_ic_fgx,scenario,period,evenement,cd_societe,cd_canton,cd_prtf_ifrs17,cd_fampdt,cd_cnt,nb_cnt,cd_asse_sexe,dt_asse_naiss,dt_cnt_effet,mt_pm_eu,cd_hrg_eu,mt_pm_uc,cd_hrg_uc,cd_prst_rt_cat,cd_capitalisation,tmg,tmg_type,taf,tfgse,tfgse_uc,cd_hyp_mort_exp,cd_hyp_mort_prov,tx_prst_chgt,tx_action_t1,tx_action_t2,tx_action_strat,tx_immobilier,nb_asse_age_annee,nb_asse_age_mois,nb_cnt_anciennete_annee,nb_cnt_anciennete_mois,tmg_brt,generation,mt_pm_eu_av,mt_pm_uc_av,nb_cnt_av
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,1,1.0,H,1945-12-31,2004-12-31,1035.0,30001,259.0,31001,6,capi,0.0275,net,1.0,0.0107,0.0132,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,77,924,18,216,0.0382,1945,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,2,1.0,H,1949-10-31,2019-12-31,15264.0,30001,3816.0,31001,4,ncapi,0.0,net,0.9,0.0096,0.0121,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,73,878,3,36,0.010666666666666666,1949,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,3,1.0,H,1950-12-31,1994-12-31,905.0,30001,226.0,31001,2,ncapi,0.0,net,0.9,0.0066,0.0091,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,72,864,28,336,0.007333333333333333,1950,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,4,1.0,H,1950-02-28,2017-12-31,543532.0,30001,135883.0,31001,6,ncapi,0.0,net,0.9,0.0081,0.0106,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,72,874,5,60,0.009,1950,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,5,1.0,H,1952-02-29,2002-12-31,3548.0,30001,887.0,31001,6,ncapi,0.0025,net,1.0,0.0096,0.0121,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,70,850,20,240,0.0121,1952,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,6,1.0,H,1956-03-31,2002-12-31,4405.0,30001,1101.0,31001,6,ncapi,0.03,net,1.0,0.0096,0.0121,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,801,20,240,0.039599999999999996,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,7,1.0,H,1956-04-30,2006-12-31,1963.0,30001,491.0,31001,6,ncapi,0.0,net,1.0,0.009,0.0115,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,800,16,192,0.009,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,8,1.0,H,1956-07-31,2009-12-31,927.0,30001,232.0,31001,6,ncapi,0.0,net,0.85,0.0085,0.011,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,797,13,156,0.01,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,9,1.0,H,1956-08-31,2018-12-31,469909.0,30001,117477.0,31001,4,ncapi,0.0,net,0.9,0.0079,0.0104,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,66,796,4,48,0.008777777777777778,1956,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,10,1.0,H,1957-05-31,2020-12-31,1051034.0,30001,262759.0,31001,6,ncapi,0.0,net,0.9,0.0079,0.0104,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,65,787,2,24,0.008777777777777778,1957,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,11,1.0,H,1957-05-31,2018-12-31,150724.0,30001,37681.0,31001,6,ncapi,0.0,net,0.9,0.0078,0.0103,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,65,787,4,48,0.008666666666666666,1957,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,12,1.0,H,1957-06-30,2010-12-31,99965.0,30001,24991.0,31001,6,ncapi,0.0,net,0.85,0.0091,0.0116,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,65,786,12,144,0.010705882352941178,1957,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,13,1.0,H,1957-11-30,2007-12-31,52922.0,30001,13231.0,31001,6,ncapi,0.0,net,1.0,0.0106,0.0131,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,65,781,15,180,0.0106,1957,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,14,1.0,H,1958-10-31,2006-12-31,56463.0,30001,14116.0,31001,6,ncapi,0.025,net,1.0,0.0106,0.0131,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,64,770,16,192,0.0356,1958,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,15,1.0,H,1958-11-30,2001-12-31,78692.0,30001,19673.0,31001,2,ncapi,0.0,net,0.96,0.0066,0.0091,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,64,769,21,252,0.006875,1958,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,16,1.0,H,1960-12-31,2005-12-31,28213.0,30001,7053.0,31001,6,ncapi,0.025,net,1.0,0.0104,0.0129,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,62,744,17,204,0.0354,1960,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,17,1.0,H,1960-02-29,2003-12-31,1177.0,30001,294.0,31001,6,ncapi,0.0075,net,1.0,0.0104,0.0129,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,62,754,19,228,0.0179,1960,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,18,1.0,H,1960-07-31,1998-12-31,9055.0,30001,2264.0,31001,6,ncapi,0.035,net,1.0,0.0088,0.0113,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,62,749,24,288,0.043800000000000006,1960,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,19,1.0,H,1960-09-30,2018-12-31,77622.0,30001,19406.0,31001,6,ncapi,0.0,net,0.9,0.009,0.0115,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,62,747,4,48,0.009999999999999998,1960,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,20,1.0,H,1961-01-31,2005-12-31,4977.0,30001,1244.0,31001,6,ncapi,0.005,net,1.0,0.0106,0.0131,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,61,743,17,204,0.0156,1961,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,21,1.0,H,1961-05-31,1996-12-31,8508.0,30001,2127.0,31001,2,ncapi,0.0,net,1.0,0.03,0.0325,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,61,739,26,312,0.03,1961,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,22,1.0,H,1961-09-30,1999-12-31,4662.0,30001,1166.0,31001,6,ncapi,0.025,net,1.0,0.0088,0.0113,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,61,735,23,276,0.033800000000000004,1961,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,23,1.0,H,1961-10-31,2004-12-31,59228.0,30001,14807.0,31001,6,ncapi,0.0,net,1.0,0.0104,0.0129,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,61,734,18,216,0.0104,1961,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,24,1.0,H,1962-12-31,2014-12-31,4180.0,30001,1045.0,31001,2,ncapi,0.0,net,0.9,0.005,0.0075,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,720,8,96,0.005555555555555556,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,25,1.0,H,1962-12-31,2014-12-31,111.0,30001,28.0,31001,2,ncapi,0.0,net,0.95,0.0065,0.009,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,720,8,96,0.006842105263157895,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,26,1.0,H,1962-12-31,2014-12-31,37505.0,30001,9376.0,31001,2,ncapi,0.0,net,0.87,0.01,0.0125,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,720,8,96,0.011494252873563218,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,27,1.0,H,1962-12-31,2014-12-31,106675.0,30001,26669.0,31001,1,ncapi,0.0,net,0.87,0.01,0.0125,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,720,8,96,0.011494252873563218,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,28,1.0,H,1962-01-31,2012-12-31,2099354.0,30001,524839.0,31001,4,ncapi,0.0,net,0.9,0.0045,0.007,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,731,10,120,0.004999999999999999,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,29,1.0,H,1962-03-31,2015-12-31,533694.0,30001,133424.0,31001,6,ncapi,0.0,net,0.9,0.008,0.0105,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,729,7,84,0.008888888888888889,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,30,1.0,H,1962-06-30,2004-12-31,8054.0,30001,2013.0,31001,6,ncapi,0.0275,net,1.0,0.0104,0.0129,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,726,18,216,0.0379,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,31,1.0,H,1962-06-30,2001-12-31,10621.0,30001,2655.0,31001,1,ncapi,0.0,net,0.95,0.0036,0.0061,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,726,21,252,0.0037894736842105266,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,32,1.0,H,1962-10-31,2002-12-31,633.0,30001,158.0,31001,6,ncapi,0.0025,net,1.0,0.0107,0.0132,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,60,722,20,240,0.0132,1962,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,33,1.0,H,1963-12-31,2020-12-31,58750.0,30001,14687.0,31001,6,ncapi,0.0,net,0.9,0.01,0.0125,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,708,2,24,0.011111111111111112,1963,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,34,1.0,H,1963-03-31,1995-12-31,93817.0,30001,23454.0,31001,2,ncapi,0.045,net,0.9,0.004,0.0065,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,717,27,324,0.05444444444444445,1963,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,35,1.0,H,1963-04-30,2018-12-31,2762168.0,30001,690542.0,31001,4,ncapi,0.0,net,0.9,0.008,0.0105,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,716,4,48,0.008888888888888889,1963,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,36,1.0,H,1963-06-30,1995-12-31,44272.0,30001,11068.0,31001,2,ncapi,0.0036,net,0.9,0.004,0.0065,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,714,27,324,0.008444444444444444,1963,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_1,37,1.0,H,1963-07-31,2016-12-31,3447239.0,30001,861810.0,31001,3,ncapi,0.0,net,0.9,0.006,0.0085,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,713,6,72,0.006666666666666666,1963,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,38,1.0,H,1963-07-31,1995-12-31,44975.0,30001,11244.0,31001,2,ncapi,0.0,net,0.9,0.004,0.0065,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,713,27,324,0.0044444444444444444,1963,0.0,0.0,0.0
CENTRAL,CENTRAL,CENTRAL,CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND,EP_IND_2,39,1.0,H,1963-09-30,2016-12-31,732587.0,30001,183147.0,31001,4,ncapi,0.0,net,0.9,0.0078,0.0103,TGHTGF05,TGHTGF05,0.02,1.0,0.0,0.0,0.0,59,711,6,72,0.008666666666666666,1963,0.0,0.0,0.0
