cd_choc_s2,scenario,period,evenement,cd_societe,cd_canton,cd_classe_actif,mt_vm_av,mt_vm,mt_vc_av,mt_vc,mt_pfi,mt_cf,mt_pdd,mt_fuite_eco,mt_fuite_vc
CENTRAL,1,0,0.Init,ACCENTURE,C00001,ACTION,0.0,6208125.0,0.0,6208125.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,IMMOBILIER,0.0,2445625.0,0.0,2445625.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,1,1.Perf,ACCENTURE,C00001,ACTION,6208125.0,6405295.05,6208125.0,6208125.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,1,1.Perf,ACCENTURE,C00001,IMMOBILIER,2445625.0,2523298.05,2445625.0,2445625.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,1,2.StratInv,ACCENTURE,C00001,ACTION,6405295.05,5357155.859999999,6208125.0,5192250.0,0.0,1048139.1900000004,0.0,0.0,0.0
CENTRAL,1,1,2.StratInv,ACCENTURE,C00001,IMMOBILIER,2523298.05,3571437.2400000007,2445625.0,2445625.0,0.0,-1048139.1900000009,0.0,0.0,0.0
CENTRAL,1,2,1.Perf,ACCENTURE,C00001,ACTION,5357155.859999999,5540056.513805624,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,2,1.Perf,ACCENTURE,C00001,IMMOBILIER,3571437.2400000007,3693371.0092037506,2445625.0,2445625.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,2,2.StratInv,ACCENTURE,C00001,IMMOBILIER,3693371.0092037506,3693371.00920375,2445625.0,2445624.9999999995,0.0,4.656612873077393e-10,0.0,0.0,0.0
CENTRAL,1,2,2.StratInv,ACCENTURE,C00001,ACTION,5540056.513805624,5540056.513805625,5192250.0,5192250.0,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,3,1.Perf,ACCENTURE,C00001,IMMOBILIER,3693371.00920375,3804882.9563290575,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,3,1.Perf,ACCENTURE,C00001,ACTION,5540056.513805625,5707324.4344935855,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,3,2.StratInv,ACCENTURE,C00001,IMMOBILIER,3804882.9563290575,3804882.9563290575,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,3,2.StratInv,ACCENTURE,C00001,ACTION,5707324.4344935855,5707324.4344935855,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,1.Perf,ACCENTURE,C00001,IMMOBILIER,3804882.9563290575,3918997.14790623,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,1.Perf,ACCENTURE,C00001,ACTION,5707324.4344935855,5878495.721859344,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,2.StratInv,ACCENTURE,C00001,ACTION,5878495.721859344,5878495.721859344,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,4,2.StratInv,ACCENTURE,C00001,IMMOBILIER,3918997.14790623,3918997.14790623,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,5,1.Perf,ACCENTURE,C00001,ACTION,5878495.721859344,6057615.999193337,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,5,1.Perf,ACCENTURE,C00001,IMMOBILIER,3918997.14790623,4038410.6661288915,2445624.9999999995,2445624.9999999995,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,5,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4038410.6661288915,4038410.6661288925,2445624.9999999995,2445624.999999999,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,5,2.StratInv,ACCENTURE,C00001,ACTION,6057615.999193337,6057615.999193338,5192250.0,5192250.0,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,6,1.Perf,ACCENTURE,C00001,IMMOBILIER,4038410.6661288925,4159767.4962490746,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,6,1.Perf,ACCENTURE,C00001,ACTION,6057615.999193338,6239651.244373611,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,6,2.StratInv,ACCENTURE,C00001,ACTION,6239651.244373611,6239651.244373611,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,6,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4159767.4962490746,4159767.4962490746,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,7,1.Perf,ACCENTURE,C00001,ACTION,6239651.244373611,6425410.248115042,5192250.0,5192250.0,0.0,0.0,0.0,-9.313225746154785e-10,0.0
CENTRAL,1,7,1.Perf,ACCENTURE,C00001,IMMOBILIER,4159767.4962490746,4283606.832076695,2445624.999999999,2445624.999999999,0.0,0.0,0.0,-9.313225746154785e-10,0.0
CENTRAL,1,7,2.StratInv,ACCENTURE,C00001,ACTION,6425410.248115042,6425410.248115042,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,7,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4283606.832076695,4283606.832076695,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,8,1.Perf,ACCENTURE,C00001,IMMOBILIER,4283606.832076695,4414299.967357081,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,8,1.Perf,ACCENTURE,C00001,ACTION,6425410.248115042,6621449.9510356225,5192250.0,5192250.0,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,8,2.StratInv,ACCENTURE,C00001,ACTION,6621449.9510356225,6621449.951035622,5192250.0,5192249.999999999,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,8,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4414299.967357081,4414299.967357081,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,1.Perf,ACCENTURE,C00001,IMMOBILIER,4414299.967357081,4551319.900009633,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,1.Perf,ACCENTURE,C00001,ACTION,6621449.951035622,6826979.850014449,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,2.StratInv,ACCENTURE,C00001,ACTION,6826979.850014449,6826979.850014449,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,9,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4551319.900009633,4551319.900009633,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,1.Perf,ACCENTURE,C00001,ACTION,6826979.850014449,7040528.256590642,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,1.Perf,ACCENTURE,C00001,IMMOBILIER,4551319.900009633,4693685.504393762,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4693685.504393762,4693685.504393762,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,10,2.StratInv,ACCENTURE,C00001,ACTION,7040528.256590642,7040528.256590642,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,1.Perf,ACCENTURE,C00001,ACTION,7040528.256590642,7264419.459646179,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,1.Perf,ACCENTURE,C00001,IMMOBILIER,4693685.504393762,4842946.306430787,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4842946.306430787,4842946.306430787,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,11,2.StratInv,ACCENTURE,C00001,ACTION,7264419.459646179,7264419.459646181,5192249.999999999,5192249.999999999,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,12,1.Perf,ACCENTURE,C00001,ACTION,7264419.459646181,7476550.966095754,5192249.999999999,5192249.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,12,1.Perf,ACCENTURE,C00001,IMMOBILIER,4842946.306430787,4984367.310730502,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,12,2.StratInv,ACCENTURE,C00001,ACTION,7476550.966095754,7476550.966095753,5192249.999999999,5192249.999999998,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,12,2.StratInv,ACCENTURE,C00001,IMMOBILIER,4984367.310730502,4984367.310730502,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,13,1.Perf,ACCENTURE,C00001,IMMOBILIER,4984367.310730502,5129070.88213705,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,13,1.Perf,ACCENTURE,C00001,ACTION,7476550.966095753,7693606.323205575,5192249.999999998,5192249.999999998,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,13,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5129070.88213705,5129070.88213705,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,13,2.StratInv,ACCENTURE,C00001,ACTION,7693606.323205575,7693606.323205574,5192249.999999998,5192249.999999997,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,14,1.Perf,ACCENTURE,C00001,ACTION,7693606.323205574,7910511.078054802,5192249.999999997,5192249.999999997,0.0,0.0,0.0,-9.313225746154785e-10,0.0
CENTRAL,1,14,1.Perf,ACCENTURE,C00001,IMMOBILIER,5129070.88213705,5273674.052036534,2445624.999999999,2445624.999999999,0.0,0.0,0.0,-1.862645149230957e-9,0.0
CENTRAL,1,14,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5273674.052036534,5273674.052036535,2445624.999999999,2445624.999999999,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,14,2.StratInv,ACCENTURE,C00001,ACTION,7910511.078054802,7910511.078054801,5192249.999999997,5192249.999999996,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,15,1.Perf,ACCENTURE,C00001,IMMOBILIER,5273674.052036535,5410208.3067672625,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,15,1.Perf,ACCENTURE,C00001,ACTION,7910511.078054801,8115312.460150893,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,15,2.StratInv,ACCENTURE,C00001,ACTION,8115312.460150893,8115312.460150895,5192249.999999996,5192249.999999997,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,15,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5410208.3067672625,5410208.3067672625,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,16,1.Perf,ACCENTURE,C00001,IMMOBILIER,5410208.3067672625,5532299.280471789,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,16,1.Perf,ACCENTURE,C00001,ACTION,8115312.460150895,8298448.920707685,5192249.999999997,5192249.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,16,2.StratInv,ACCENTURE,C00001,ACTION,8298448.920707685,8298448.920707684,5192249.999999997,5192249.999999996,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,16,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5532299.280471789,5532299.2804717915,2445624.999999999,2445624.999999999,0.0,-2.7939677238464355e-9,0.0,0.0,0.0
CENTRAL,1,17,1.Perf,ACCENTURE,C00001,ACTION,8298448.920707684,8463789.741411291,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,17,1.Perf,ACCENTURE,C00001,IMMOBILIER,5532299.2804717915,5642526.494274196,2445624.999999999,2445624.999999999,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,17,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5642526.494274196,5642526.494274195,2445624.999999999,2445624.9999999986,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,17,2.StratInv,ACCENTURE,C00001,ACTION,8463789.741411291,8463789.741411291,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,18,1.Perf,ACCENTURE,C00001,ACTION,8463789.741411291,8624162.973959403,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,18,1.Perf,ACCENTURE,C00001,IMMOBILIER,5642526.494274195,5749441.982639603,2445624.9999999986,2445624.9999999986,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,18,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5749441.982639603,5749441.982639603,2445624.9999999986,2445624.9999999986,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,18,2.StratInv,ACCENTURE,C00001,ACTION,8624162.973959403,8624162.973959403,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,19,1.Perf,ACCENTURE,C00001,IMMOBILIER,5749441.982639603,5857271.758963631,2445624.9999999986,2445624.9999999986,0.0,0.0,0.0,-9.313225746154785e-10,0.0
CENTRAL,1,19,1.Perf,ACCENTURE,C00001,ACTION,8624162.973959403,8785907.638445443,5192249.999999996,5192249.999999996,0.0,0.0,0.0,-3.725290298461914e-9,0.0
CENTRAL,1,19,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5857271.758963631,5857271.75896363,2445624.9999999986,2445624.999999998,0.0,9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,19,2.StratInv,ACCENTURE,C00001,ACTION,8785907.638445443,8785907.638445444,5192249.999999996,5192249.999999996,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,20,1.Perf,ACCENTURE,C00001,ACTION,8785907.638445444,8959012.169253401,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,20,1.Perf,ACCENTURE,C00001,IMMOBILIER,5857271.75896363,5972674.779502268,2445624.999999998,2445624.999999998,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,20,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5972674.779502268,5972674.779502269,2445624.999999998,2445624.999999997,0.0,-9.313225746154785e-10,0.0,0.0,0.0
