cd_choc_s2,scenario,period,evenement,cd_societe,cd_canton,cd_fampdt,nb_cnt,cd_asse_sexe,dt_asse_naiss,dt_cnt_effet,mt_pm_eu,cd_hrg_eu,mt_pm_uc,cd_hrg_uc,cd_prst_rt_cat,cd_capitalisation,tmg,tmg_type,taf,tfgse,tfgse_uc,cd_hyp_mort_exp,cd_hyp_mort_prov,tx_prst_chgt,tx_action_t1,tx_action_t2,tx_action_strat,tx_immobilier,nb_asse_age_annee,nb_asse_age_mois,nb_cnt_anciennete_annee,nb_cnt_anciennete_mois,tmg_brt,generation,mt_pm_eu_av,mt_pm_uc_av,nb_cnt_av
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_2,44.0,,,,23068196.0,1320044,5767047.0,1364044,182,,0.37339999999999995,,41.86999999999999,0.31840000000000007,0.4284,,,0.8800000000000004,44.0,0.0,0.0,0.0,2198,26618,785,9420,0.7139288134552068,86770,0.0,0.0,0.0
CENTRAL,1,0,0.Init,ACCENTURE,C00001,EP_IND_1,37.0,,,,11931803.0,1110037,2982952.0,1147037,169,,0.2611,,34.79999999999999,0.33130000000000004,0.4238000000000001,,,0.7400000000000003,37.0,0.0,0.0,0.0,2343,28291,519,6228,0.6165231892696582,72471,0.0,0.0,0.0
