cd_societe,cd_canton,cd_classe_actif,tx_alloc_cible,cd_choc_s2,cd_choc_s2_gse,scenario,period,mt_vm_av,mt_vm_av_canton,mt_vm_av_cd_classe_actif,mt_vm_cible_cd_classe_actif,facteur_achat_vente,mt_achat_oblig
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,1,6405295.05,8928593.1,6405295.05,5357155.859999999,0.8363636363636363,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,1,2523298.05,8928593.1,2523298.05,3571437.24,1.4153846153846157,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,2,5540056.513805624,9233427.523009375,5540056.513805624,5540056.513805625,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,2,3693371.0092037506,9233427.523009375,3693371.0092037506,3693371.00920375,0.9999999999999999,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,3,5707324.4344935855,9512207.390822643,5707324.4344935855,5707324.4344935855,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,3,3804882.9563290575,9512207.390822643,3804882.9563290575,3804882.9563290575,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,4,5878495.721859344,9797492.869765574,5878495.721859344,5878495.721859344,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,4,3918997.14790623,9797492.869765574,3918997.14790623,3918997.14790623,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,5,6057615.999193337,10096026.66532223,6057615.999193337,6057615.999193338,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,5,4038410.6661288915,10096026.66532223,4038410.6661288915,4038410.666128892,1.0000000000000002,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,6,6239651.244373611,10399418.740622686,6239651.244373611,6239651.244373611,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,6,4159767.4962490746,10399418.740622686,4159767.4962490746,4159767.4962490746,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,7,6425410.248115042,10709017.080191737,6425410.248115042,6425410.248115042,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,7,4283606.832076695,10709017.080191737,4283606.832076695,4283606.832076695,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,8,6621449.9510356225,11035749.918392703,6621449.9510356225,6621449.951035622,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,8,4414299.967357081,11035749.918392703,4414299.967357081,4414299.967357081,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,9,6826979.850014449,11378299.750024082,6826979.850014449,6826979.850014449,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,9,4551319.900009633,11378299.750024082,4551319.900009633,4551319.900009633,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,10,7040528.256590642,11734213.760984404,7040528.256590642,7040528.256590642,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,10,4693685.504393762,11734213.760984404,4693685.504393762,4693685.504393762,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,11,7264419.459646179,12107365.766076967,7264419.459646179,7264419.45964618,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,11,4842946.306430787,12107365.766076967,4842946.306430787,4842946.306430787,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,12,7476550.966095754,12460918.276826255,7476550.966095754,7476550.966095753,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,12,4984367.310730502,12460918.276826255,4984367.310730502,4984367.310730502,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,13,7693606.323205575,12822677.205342624,7693606.323205575,7693606.323205574,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,13,5129070.88213705,12822677.205342624,5129070.88213705,5129070.88213705,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,14,7910511.078054802,13184185.130091336,7910511.078054802,7910511.078054801,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,14,5273674.052036534,13184185.130091336,5273674.052036534,5273674.052036535,1.0000000000000002,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,15,8115312.460150893,13525520.766918156,8115312.460150893,8115312.460150894,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,15,5410208.3067672625,13525520.766918156,5410208.3067672625,5410208.3067672625,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,16,8298448.920707685,13830748.201179475,8298448.920707685,8298448.920707684,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,16,5532299.280471789,13830748.201179475,5532299.280471789,5532299.280471791,1.0000000000000004,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,17,8463789.741411291,14106316.235685486,8463789.741411291,8463789.741411291,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,17,5642526.494274196,14106316.235685486,5642526.494274196,5642526.494274195,0.9999999999999999,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,18,8624162.973959403,14373604.956599006,8624162.973959403,8624162.973959403,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,18,5749441.982639603,14373604.956599006,5749441.982639603,5749441.982639603,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,19,8785907.638445443,14643179.397409074,8785907.638445443,8785907.638445444,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,19,5857271.758963631,14643179.397409074,5857271.758963631,5857271.75896363,0.9999999999999999,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,20,8959012.169253401,14931686.94875567,8959012.169253401,8959012.169253401,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,20,5972674.779502268,14931686.94875567,5972674.779502268,5972674.779502269,1.0000000000000002,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,21,9150451.544282641,15250752.573804405,9150451.544282641,9150451.544282643,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,21,6100301.029521762,15250752.573804405,6100301.029521762,6100301.029521762,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,22,9360536.599798312,15600894.332997188,9360536.599798312,9360536.599798312,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,22,6240357.733198876,15600894.332997188,6240357.733198876,6240357.733198876,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,23,9588873.261234066,15981455.435390111,9588873.261234066,9588873.261234066,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,23,6392582.174156045,15981455.435390111,6392582.174156045,6392582.174156045,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,24,9834261.800769746,16390436.334616244,9834261.800769746,9834261.800769746,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,24,6556174.5338464985,16390436.334616244,6556174.5338464985,6556174.533846498,0.9999999999999999,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,25,10094575.859584251,16824293.099307086,10094575.859584251,10094575.859584251,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,25,6729717.239722834,16824293.099307086,6729717.239722834,6729717.239722835,1.0000000000000002,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,26,10374501.324019972,17290835.54003329,10374501.324019972,10374501.324019972,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,26,6916334.216013316,17290835.54003329,6916334.216013316,6916334.216013316,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,27,10668419.814588703,17780699.690981172,10668419.814588703,10668419.814588703,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,27,7112279.876392471,17780699.690981172,7112279.876392471,7112279.876392469,0.9999999999999998,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,28,10980709.609317934,18301182.682196558,10980709.609317934,10980709.609317934,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,28,7320473.072878622,18301182.682196558,7320473.072878622,7320473.072878623,1.0000000000000002,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,29,11307091.484676475,18845152.47446079,11307091.484676475,11307091.484676475,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,29,7538060.989784318,18845152.47446079,7538060.989784318,7538060.989784317,0.9999999999999999,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,30,11648613.574469121,19414355.957448535,11648613.574469121,11648613.574469121,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,30,7765742.382979414,19414355.957448535,7765742.382979414,7765742.382979414,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,31,12010029.579681013,20016715.96613502,12010029.579681013,12010029.579681013,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,31,8006686.386454009,20016715.96613502,8006686.386454009,8006686.3864540085,0.9999999999999999,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,32,12381690.12577002,20636150.2096167,12381690.12577002,12381690.12577002,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,32,8254460.08384668,20636150.2096167,8254460.08384668,8254460.08384668,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,33,12775783.17043364,21292971.95072273,12775783.17043364,12775783.170433639,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,33,8517188.780289093,21292971.95072273,8517188.780289093,8517188.780289093,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,34,13181387.083459985,21968978.472433306,13181387.083459985,13181387.083459983,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,34,8787591.388973324,21968978.472433306,8787591.388973324,8787591.388973324,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,35,13607670.47033213,22679450.783886887,13607670.47033213,13607670.470332133,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,35,9071780.313554756,22679450.783886887,9071780.313554756,9071780.313554754,0.9999999999999998,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,36,14051285.60023042,23418809.333717365,14051285.60023042,14051285.600230418,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,36,9367523.733486945,23418809.333717365,9367523.733486945,9367523.733486947,1.0000000000000002,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,37,14507802.617124971,24179671.028541617,14507802.617124971,14507802.61712497,0.9999999999999999,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,37,9671868.411416648,24179671.028541617,9671868.411416648,9671868.411416648,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,38,14988178.780442705,24980297.96740451,14988178.780442705,14988178.780442705,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,38,9992119.186961805,24980297.96740451,9992119.186961805,9992119.186961805,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,39,15482494.788842177,25804157.98140363,15482494.788842177,15482494.788842177,1.0,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,39,10321663.192561453,25804157.98140363,10321663.192561453,10321663.192561453,1.0,0.0
ACCENTURE,C00001,ACTION,0.6,CENTRAL,CENTRAL,1,40,15996837.786355838,26661396.31059307,15996837.786355838,15996837.78635584,1.0000000000000002,0.0
ACCENTURE,C00001,IMMOBILIER,0.4,CENTRAL,CENTRAL,1,40,10664558.524237229,26661396.31059307,10664558.524237229,10664558.524237229,1.0,0.0
